#
# The comments following the number sign "#" list the East_Asian_Width property
# value, followed by the Unicode character name or names.
#
# Code points that have the value O and the East_Asian_Width property value N or
# Na are omitted.
#
# @missing: 0000..10FFFF; O

016C..01CD     ; N  # N   LATIN CAPITAL LETTER U WITH BREVE..LATIN CAPITAL LETTER A WITH CARON
01CE           ; N  # A   LATIN SMALL LETTER A WITH CARON
01CF           ; N  # N   LATIN CAPITAL LETTER I WITH CARON
01D0           ; N  # A   LATIN SMALL LETTER I WITH CARON
01D1           ; N  # N   LATIN CAPITAL LETTER O WITH CARON
01D2           ; N  # A   LATIN SMALL LETTER O WITH CARON
01D3           ; N  # N   LATIN CAPITAL LETTER U WITH CARON
01D4           ; N  # A   LATIN SMALL LETTER U WITH CARON
01D5           ; N  # N   LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON
01D6           ; N  # A   LATIN SMALL LETTER U WITH DIAERESIS AND MACRON
01D7           ; N  # N   LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE
01D8           ; N  # A   LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE
01D9           ; N  # N   LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON
01DA           ; N  # A   LATIN SMALL LETTER U WITH DIAERESIS AND CARON
01DB           ; N  # N   LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE
01DC           ; N  # A   LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE
01DD..0250     ; N  # N   LATIN SMALL LETTER TURNED E..LATIN SMALL LETTER TURNED A
0251           ; N  # A   LATIN SMALL LETTER ALPHA
0252..0260     ; N  # N   LATIN SMALL LETTER TURNED ALPHA..LATIN SMALL LETTER G WITH HOOK
0261           ; N  # A   LATIN SMALL LETTER SCRIPT G
0262..02C1     ; N  # N   LATIN LETTER SMALL CAPITAL G..MODIFIER LETTER REVERSED GLOTTAL STOP
02C4           ; O  # A   MODIFIER LETTER UP ARROWHEAD
02C6           ; N  # N   MODIFIER LETTER CIRCUMFLEX ACCENT
02C7           ; N  # A   CARON
02C8           ; N  # N   MODIFIER LETTER VERTICAL LINE
02C9..02CB     ; N  # A   MODIFIER LETTER MACRON..MODIFIER LETTER GRAVE ACCENT
02CC           ; N  # N   MODIFIER LETTER LOW VERTICAL LINE
02CD           ; N  # A   MODIFIER LETTER LOW MACRON
02CE..02CF     ; N  # N   MODIFIER LETTER LOW GRAVE ACCENT..MODIFIER LETTER LOW ACUTE ACCENT
02D0           ; N  # A   MODIFIER LETTER TRIANGULAR COLON
02D1           ; N  # N   MODIFIER LETTER HALF TRIANGULAR COLON
02D8..02DB     ; O  # A   BREVE..OGONEK
02DD           ; O  # A   DOUBLE ACUTE ACCENT
02DF           ; O  # A   MODIFIER LETTER CROSS ACCENT
02E0..02E4     ; N  # N   MODIFIER LETTER SMALL GAMMA..MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
02EC           ; N  # N   MODIFIER LETTER VOICING
02EE           ; N  # N   MODIFIER LETTER DOUBLE APOSTROPHE
0300..036F     ; N  # A   COMBINING GRAVE ACCENT..COMBINING LATIN SMALL LETTER X
0370..0374     ; N  # N   GREEK CAPITAL LETTER HETA..GREEK NUMERAL SIGN
0376..0377     ; N  # N   GREEK CAPITAL LETTER PAMPHYLIAN DIGAMMA..GREEK SMALL LETTER PAMPHYLIAN DIGAMMA
037A..037D     ; N  # N   GREEK YPOGEGRAMMENI..GREEK SMALL REVERSED DOTTED LUNATE SIGMA SYMBOL
037F           ; N  # N   GREEK CAPITAL LETTER YOT
0386           ; N  # N   GREEK CAPITAL LETTER ALPHA WITH TONOS
0388..038A     ; N  # N   GREEK CAPITAL LETTER EPSILON WITH TONOS..GREEK CAPITAL LETTER IOTA WITH TONOS
038C           ; N  # N   GREEK CAPITAL LETTER OMICRON WITH TONOS
038E..0390     ; N  # N   GREEK CAPITAL LETTER UPSILON WITH TONOS..GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS
0391..03A1     ; N  # A   GREEK CAPITAL LETTER ALPHA..GREEK CAPITAL LETTER RHO
03A3..03A9     ; N  # A   GREEK CAPITAL LETTER SIGMA..GREEK CAPITAL LETTER OMEGA
03AA..03B0     ; N  # N   GREEK CAPITAL LETTER IOTA WITH DIALYTIKA..GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS
03B1..03C1     ; N  # A   GREEK SMALL LETTER ALPHA..GREEK SMALL LETTER RHO
03C2           ; N  # N   GREEK SMALL LETTER FINAL SIGMA
03C3..03C9     ; N  # A   GREEK SMALL LETTER SIGMA..GREEK SMALL LETTER OMEGA
03CA..03F5     ; N  # N   GREEK SMALL LETTER IOTA WITH DIALYTIKA..GREEK LUNATE EPSILON SYMBOL
03F7..0400     ; N  # N   GREEK CAPITAL LETTER SHO..CYRILLIC CAPITAL LETTER IE WITH GRAVE
0401           ; N  # A   CYRILLIC CAPITAL LETTER IO
0402..040F     ; N  # N   CYRILLIC CAPITAL LETTER DJE..CYRILLIC CAPITAL LETTER DZHE
0410..044F     ; N  # A   CYRILLIC CAPITAL LETTER A..CYRILLIC SMALL LETTER YA
0450           ; N  # N   CYRILLIC SMALL LETTER IE WITH GRAVE
0451           ; N  # A   CYRILLIC SMALL LETTER IO
0452..0481     ; N  # N   CYRILLIC SMALL LETTER DJE..CYRILLIC SMALL LETTER KOPPA
0483..052F     ; N  # N   COMBINING CYRILLIC TITLO..CYRILLIC SMALL LETTER EL WITH DESCENDER
0531..0556     ; N  # N   ARMENIAN CAPITAL LETTER AYB..ARMENIAN CAPITAL LETTER FEH
0559           ; N  # N   ARMENIAN MODIFIER LETTER LEFT HALF RING
0560..0588     ; N  # N   ARMENIAN SMALL LETTER TURNED AYB..ARMENIAN SMALL LETTER YI WITH STROKE
0591..05BD     ; N  # N   HEBREW ACCENT ETNAHTA..HEBREW POINT METEG
05BF           ; N  # N   HEBREW POINT RAFE
05C1..05C2     ; N  # N   HEBREW POINT SHIN DOT..HEBREW POINT SIN DOT
05C4..05C5     ; N  # N   HEBREW MARK UPPER DOT..HEBREW MARK LOWER DOT
05C7           ; N  # N   HEBREW POINT QAMATS QATAN
05D0..05EA     ; N  # N   HEBREW LETTER ALEF..HEBREW LETTER TAV
05EF..05F2     ; N  # N   HEBREW YOD TRIANGLE..HEBREW LIGATURE YIDDISH DOUBLE YOD
0610..061A     ; N  # N   ARABIC SIGN SALLALLAHOU ALAYHE WASSALLAM..ARABIC SMALL KASRA
0620..0669     ; N  # N   ARABIC LETTER KASHMIRI YEH..ARABIC-INDIC DIGIT NINE
066E..06D3     ; N  # N   ARABIC LETTER DOTLESS BEH..ARABIC LETTER YEH BARREE WITH HAMZA ABOVE
06D5..06DC     ; N  # N   ARABIC LETTER AE..ARABIC SMALL HIGH SEEN
06DF..06E8     ; N  # N   ARABIC SMALL HIGH ROUNDED ZERO..ARABIC SMALL HIGH NOON
06EA..06FC     ; N  # N   ARABIC EMPTY CENTRE LOW STOP..ARABIC LETTER GHAIN WITH DOT BELOW
06FF           ; N  # N   ARABIC LETTER HEH WITH INVERTED V
0710..074A     ; N  # N   SYRIAC LETTER ALAPH..SYRIAC BARREKH
074D..07B1     ; N  # N   SYRIAC LETTER SOGDIAN ZHAIN..THAANA LETTER NAA
07C0..07F5     ; N  # N   NKO DIGIT ZERO..NKO LOW TONE APOSTROPHE
07FA           ; N  # N   NKO LAJANYALAN
