#
# @missing: 0000..10FFFF; O

0A05..0A0A     ; N  # GURMUKHI LETTER A..GURMUKHI LETTER UU
0A0F..0A10     ; N  # GURMUKHI LETTER EE..GURMUKHI LETTER AI
0A13..0A28     ; N  # GURMUKHI LETTER OO..GURMUKHI LETTER NA
0A2A..0A30     ; N  # GURMUKHI LETTER PA..GURMUKHI LETTER RA
0A32..0A33     ; N  # GURMUKHI LETTER LA..GURMUKHI LETTER LLA
0A35..0A36     ; N  # GURMUKHI LETTER VA..GURMUKHI LETTER SHA
0A38..0A39     ; N  # GURMUKHI LETTER SA..GURMUKHI LETTER HA
0A3C           ; N  # GURMUKHI SIGN NUKTA
0A3E..0A42     ; N  # GURMUKHI VOWEL SIGN AA..GURMUKHI VOWEL SIGN UU
0A47..0A48     ; N  # GURMUKHI VOWEL SIGN EE..GURMUKHI VOWEL SIGN AI
0A4B..0A4D     ; N  # GURMUKHI VOWEL SIGN OO..GURMUKHI SIGN VIRAMA
0A51           ; N  # GURMUKHI SIGN UDAAT
0A59..0A5C     ; N  # GURMUKHI LETTER KHHA..GURMUKHI LETTER RRA
0A5E           ; N  # GURMUKHI LETTER FA
0A66..0A75     ; N  # GURMUKHI DIGIT ZERO..GURMUKHI SIGN YAKASH
0A81..0A83     ; N  # GUJARATI SIGN CANDRABINDU..GUJARATI SIGN VISARGA
0A85..0A8D     ; N  # GUJARATI LETTER A..GUJARATI VOWEL CANDRA E
0A8F..0A91     ; N  # GUJARATI LETTER E..GUJARATI VOWEL CANDRA O
0A93..0AA8     ; N  # GUJARATI LETTER O..GUJARATI LETTER NA
0AAA..0AB0     ; N  # GUJARATI LETTER PA..GUJARATI LETTER RA
0AB2..0AB3     ; N  # GUJARATI LETTER LA..GUJARATI LETTER LLA
0AB5..0AB9     ; N  # GUJARATI LETTER VA..GUJARATI LETTER HA
0ABC..0AC5     ; N  # GUJARATI SIGN NUKTA..GUJARATI VOWEL SIGN CANDRA E
0AC7..0AC9     ; N  # GUJARATI VOWEL SIGN E..GUJARATI VOWEL SIGN CANDRA O
0ACB..0ACD     ; N  # GUJARATI VOWEL SIGN O..GUJARATI SIGN VIRAMA
0AD0           ; N  # GUJARATI OM
0AE0..0AE3     ; N  # GUJARATI LETTER VOCALIC RR..GUJARATI VOWEL SIGN VOCALIC LL
0AE6..0AEF     ; N  # GUJARATI DIGIT ZERO..GUJARATI DIGIT NINE
0AF9..0AFF     ; N  # GUJARATI LETTER ZHA..GUJARATI SIGN TWO-CIRCLE NUKTA ABOVE
0B01..0B03     ; N  # ORIYA SIGN CANDRABINDU..ORIYA SIGN VISARGA
0B05..0B0C     ; N  # ORIYA LETTER A..ORIYA LETTER VOCALIC L
0B0F..0B10     ; N  # ORIYA LETTER E..ORIYA LETTER AI
0B13..0B28     ; N  # ORIYA LETTER O..ORIYA LETTER NA
0B2A..0B30     ; N  # ORIYA LETTER PA..ORIYA LETTER RA
0B32..0B33     ; N  # ORIYA LETTER LA..ORIYA LETTER LLA
0B35..0B39     ; N  # ORIYA LETTER VA..ORIYA LETTER HA
0B3C..0B44     ; N  # ORIYA SIGN NUKTA..ORIYA VOWEL SIGN VOCALIC RR
0B47..0B48     ; N  # ORIYA VOWEL SIGN E..ORIYA VOWEL SIGN AI
0B4B..0B4D     ; N  # ORIYA VOWEL SIGN O..ORIYA SIGN VIRAMA
0B55..0B57     ; N  # ORIYA SIGN OVERLINE..ORIYA AU LENGTH MARK
0B5C..0B5D     ; N  # ORIYA LETTER RRA..ORIYA LETTER RHA
0B5F..0B63     ; N  # ORIYA LETTER YYA..ORIYA VOWEL SIGN VOCALIC LL
0B66..0B6F     ; N  # ORIYA DIGIT ZERO..ORIYA DIGIT NINE
0B71           ; N  # ORIYA LETTER WA
0B82..0B83     ; N  # TAMIL SIGN ANUSVARA..TAMIL SIGN VISARGA
